================ Precision Log (Fri Apr 11 21:30:00 2025) ================
Epoch:940  sam 1.8462514877319336,psnr 36.06346893310547,ergas 0.37552769414063436,cc 0.9862636357722726,rmse 0.012287586650125493,Ssim 0.9652108126598664,Uqi 0.9984148339582855
Epoch:950  sam 1.9338135719299316,psnr 35.53650665283203,ergas 0.40614287057556275,cc 0.986516404762102,rmse 0.012849093922315128,Ssim 0.9663027413694636,Uqi 0.9981203271556309
Epoch:960  sam 2.008866310119629,psnr 34.95801544189453,ergas 0.4309781952331838,cc 0.9868430964177799,rmse 0.014640194011055428,Ssim 0.9659680857679485,Uqi 0.9976362437960131
Epoch:970  sam 1.800575613975525,psnr 35.56434631347656,ergas 0.39095641063357317,cc 0.9871582300593935,rmse 0.013206122809034916,Ssim 0.9668282255612062,Uqi 0.9982772192741239
Epoch:980  sam 1.8118373155593872,psnr 34.15299606323242,ergas 0.45390698636174626,cc 0.9870539601814776,rmse 0.015146676852664432,Ssim 0.9658965796673488,Uqi 0.9974594766893895
Epoch:990  sam 1.7887376546859741,psnr 34.39937210083008,ergas 0.4387408276954796,cc 0.9870765241687708,rmse 0.01498241044733891,Ssim 0.966162379274597,Uqi 0.9976551756346483
Epoch:1000  sam 1.761505365371704,psnr 34.79609680175781,ergas 0.42283252015691486,cc 0.9872068312300454,rmse 0.014005752158854114,Ssim 0.9664670340763175,Uqi 0.9978894666663689
Epoch:1010  sam 1.7784998416900635,psnr 35.66701126098633,ergas 0.3862242071871679,cc 0.9873191154728597,rmse 0.013061486348278896,Ssim 0.9675384497875045,Uqi 0.9982969122827812
Epoch:1020  sam 1.7719578742980957,psnr 34.76479721069336,ergas 0.424211345604827,cc 0.9872794833851787,rmse 0.014107478822656247,Ssim 0.9666927877097914,Uqi 0.9978521325355992
Epoch:1030  sam 1.7529453039169312,psnr 35.7440299987793,ergas 0.3808644211645405,cc 0.9874429220565375,rmse 0.012921893187741524,Ssim 0.9679183650164102,Uqi 0.9983536728332408
